Wavelength (μm), Reflectance
9.865865865865866002e-01,1.355127256530605229e-01
9.885885885885885571e-01,1.353670197236996331e-01
9.905905905905906250e-01,1.351823526867593772e-01
9.925925925925925819e-01,1.350528513265930597e-01
9.945945945945946498e-01,1.350799781654075660e-01
9.965965965965966067e-01,1.351641989761927509e-01
9.985985985985985636e-01,1.352343992420758090e-01
1.000600600600600742e+00,1.354453454293032544e-01
1.002602602602602477e+00,1.355708106609823937e-01
1.004604604604604656e+00,1.356131997099762065e-01
1.006606606606606613e+00,1.356879349479932773e-01
1.008608608608608570e+00,1.357737297103063234e-01
1.010610610610610749e+00,1.358984545450797332e-01
1.012612612612612484e+00,1.360330046838550688e-01
1.014614614614614663e+00,1.361762536166956084e-01
1.016616616616616620e+00,1.363217878643255832e-01
1.018618618618618576e+00,1.364689352102554654e-01
1.020620620620620755e+00,1.366138847048948557e-01
1.022622622622622490e+00,1.367614984972335690e-01
1.024624624624624669e+00,1.369124884797933428e-01
1.026626626626626626e+00,1.370877354335860721e-01
1.028628628628628583e+00,1.372678378789551901e-01
1.030630630630630762e+00,1.374285057289759138e-01
1.032632632632632497e+00,1.375659726524096627e-01
1.034634634634634676e+00,1.376406952723496502e-01
1.036636636636636633e+00,1.377087835674996041e-01
1.038638638638638589e+00,1.378390415946076364e-01
1.040640640640640768e+00,1.380251432730899841e-01
1.042642642642642503e+00,1.382389554934052300e-01
1.044644644644644682e+00,1.384450291579945869e-01
1.046646646646646639e+00,1.386287167913597684e-01
1.048648648648648596e+00,1.388485890646576348e-01
1.050650650650650775e+00,1.391157718720231473e-01
1.052652652652652510e+00,1.393648166105080355e-01
1.054654654654654689e+00,1.395343466839329694e-01
1.056656656656656645e+00,1.396563566257405520e-01
1.058658658658658602e+00,1.397679929331565041e-01
1.060660660660660781e+00,1.398977602929142305e-01
1.062662662662662516e+00,1.400326183838347116e-01
1.064664664664664695e+00,1.401683824322614569e-01
1.066666666666666652e+00,1.402968196050291549e-01
1.068668668668668609e+00,1.404124050465300200e-01
1.070670670670670788e+00,1.405144782442517282e-01
1.072672672672672523e+00,1.406057254995922712e-01
1.074674674674674701e+00,1.406872901134150200e-01
1.076676676676676658e+00,1.407458940750347109e-01
1.078678678678678615e+00,1.407967086586757732e-01
1.080680680680680794e+00,1.408488180244487353e-01
1.082682682682682751e+00,1.409213644009017774e-01
1.084684684684684708e+00,1.410085869213566490e-01
1.086686686686686665e+00,1.411045716449671472e-01
1.088688688688688622e+00,1.411468034083796508e-01
1.090690690690690801e+00,1.411400730273394966e-01
1.092692692692692757e+00,1.411345303738975598e-01
1.094694694694694714e+00,1.411672205282655801e-01
1.096696696696696671e+00,1.412064417690535589e-01
1.098698698698698628e+00,1.412113436554796875e-01
1.100700700700700807e+00,1.411425360247104133e-01
1.102702702702702764e+00,1.410451827668499913e-01
1.104704704704704721e+00,1.409929467863321739e-01
1.106706706706706678e+00,1.409977509487425618e-01
1.108708708708708635e+00,1.410150968754754763e-01
1.110710710710710813e+00,1.410164611993760531e-01
1.112712712712712770e+00,1.409948221147865888e-01
1.114714714714714727e+00,1.409701016912253135e-01
1.116716716716716684e+00,1.409571995423336555e-01
1.118718718718718641e+00,1.409434749294612710e-01
1.120720720720720820e+00,1.408938369755881881e-01
1.122722722722722777e+00,1.407895080221702178e-01
1.124724724724724734e+00,1.406288255148983035e-01
1.126726726726726691e+00,1.403894094923534841e-01
1.128728728728728647e+00,1.400254403351789967e-01
1.130730730730730826e+00,1.395292794573002038e-01
1.132732732732732783e+00,1.390193931120596027e-01
1.134734734734734740e+00,1.386353917789566736e-01
1.136736736736736919e+00,1.383568396645144249e-01
1.138738738738738654e+00,1.380802676189265832e-01
1.140740740740740833e+00,1.377244986179325115e-01
1.142742742742742790e+00,1.373134658102735384e-01
1.144744744744744747e+00,1.369001574071913307e-01
1.146746746746746926e+00,1.364837609172532273e-01
1.148748748748748660e+00,1.360256435837430555e-01
1.150750750750750839e+00,1.355024466683804607e-01
1.152752752752752796e+00,1.349356227358463889e-01
1.154754754754754753e+00,1.343828435690489209e-01
1.156756756756756932e+00,1.338915297307699259e-01
1.158758758758758667e+00,1.334550709092757192e-01
1.160760760760760846e+00,1.330448002844965283e-01
1.162762762762762803e+00,1.326559800070482298e-01
1.164764764764764760e+00,1.323089150749277021e-01
1.166766766766766938e+00,1.320316661713057393e-01
1.168768768768768673e+00,1.318544921330015995e-01
1.170770770770770852e+00,1.317859320926080824e-01
1.172772772772772809e+00,1.318173525531083912e-01
1.174774774774774766e+00,1.319477085914505521e-01
1.176776776776776945e+00,1.321665357764113258e-01
1.178778778778778680e+00,1.324209289681284596e-01
1.180780780780780859e+00,1.326496099776777182e-01
1.182782782782782816e+00,1.328721810076944343e-01
1.184784784784784772e+00,1.331436925993155773e-01
1.186786786786786951e+00,1.334315856252993870e-01
1.188788788788788686e+00,1.336336159823204861e-01
1.190790790790790865e+00,1.336759914805328020e-01
1.192792792792792822e+00,1.335790273382438664e-01
1.194794794794794779e+00,1.333765293937052565e-01
1.196796796796796958e+00,1.330709757669574778e-01
1.198798798798798693e+00,1.325888406576660739e-01
1.200800800800800872e+00,1.318737435296062355e-01
1.202802802802802828e+00,1.309679494479008277e-01
1.204804804804804785e+00,1.300299773843599516e-01
1.206806806806806964e+00,1.291519577610863723e-01
1.208808808808808699e+00,1.284041440612779805e-01
1.210810810810810878e+00,1.277847840258269640e-01
1.212812812812812835e+00,1.273440432779933684e-01
1.214814814814814792e+00,1.271064818580651123e-01
1.216816816816816971e+00,1.270298889167317813e-01
1.218818818818818706e+00,1.270401294880888765e-01
1.220820820820820884e+00,1.271232988244492268e-01
1.222822822822822841e+00,1.272725175329754987e-01
1.224824824824824798e+00,1.274909731518579503e-01
1.226826826826826977e+00,1.277765751693655527e-01
1.228828828828828712e+00,1.281427756743659385e-01
1.230830830830830891e+00,1.285712487838979734e-01
1.232832832832832848e+00,1.290086811147382329e-01
1.234834834834834805e+00,1.294026185414924868e-01
1.236836836836836984e+00,1.297444075554828880e-01
1.238838838838838718e+00,1.300923471333365888e-01
1.240840840840840897e+00,1.304840100319033525e-01
1.242842842842842854e+00,1.308780348294981133e-01
1.244844844844844811e+00,1.311869475915402317e-01
1.246846846846846990e+00,1.314122373844389402e-01
1.248848848848848725e+00,1.315958229262603751e-01
1.250850850850850904e+00,1.317781880951676698e-01
1.252852852852852861e+00,1.319441204113279698e-01
1.254854854854854818e+00,1.320967275376325467e-01
1.256856856856856997e+00,1.322315884362828542e-01
1.258858858858858731e+00,1.323553385636918878e-01
1.260860860860860910e+00,1.324350237433679078e-01
1.262862862862862867e+00,1.324887938731332537e-01
1.264864864864864824e+00,1.325513910121743910e-01
1.266866866866867003e+00,1.326268641642962265e-01
1.268868868868868738e+00,1.326458497760482913e-01
1.270870870870870917e+00,1.326019043528152697e-01
1.272872872872872874e+00,1.325502356545525950e-01
1.274874874874874831e+00,1.325481270663454170e-01
1.276876876876877009e+00,1.325712034595014077e-01
1.278878878878878744e+00,1.325684188000528230e-01
1.280880880880880923e+00,1.325092901431043080e-01
1.282882882882882880e+00,1.324392579802022019e-01
1.284884884884884837e+00,1.324090055150053957e-01
1.286886886886887016e+00,1.324054812137528681e-01
1.288888888888888751e+00,1.323814404903584929e-01
1.290890890890890930e+00,1.323127592680830300e-01
1.292892892892892887e+00,1.322198065392719557e-01
1.294894894894894843e+00,1.321252877915239932e-01
1.296896896896897022e+00,1.320496042020395666e-01
1.298898898898898757e+00,1.319913168909853662e-01
1.300900900900900936e+00,1.319361492163780847e-01
1.302902902902902893e+00,1.318556750531482968e-01
1.304904904904904850e+00,1.317272982665909364e-01
1.306906906906907029e+00,1.315608555405304303e-01
1.308908908908908764e+00,1.313836108538604663e-01
1.310910910910910943e+00,1.312056677163414564e-01
1.312912912912912899e+00,1.309995900502151367e-01
1.314914914914914856e+00,1.307728843101329808e-01
1.316916916916917035e+00,1.305162423373474045e-01
1.318918918918918770e+00,1.302255172435454189e-01
1.320920920920920949e+00,1.298846436561433282e-01
1.322922922922922906e+00,1.295323731928749722e-01
1.324924924924924863e+00,1.291814950164717479e-01
1.326926926926927042e+00,1.288263024410348512e-01
1.328928928928928777e+00,1.284312641607738559e-01
1.330930930930930955e+00,1.280028869249183743e-01
1.332932932932932912e+00,1.275385703419623651e-01
1.334934934934934869e+00,1.270627180299143677e-01
1.336936936936937048e+00,1.265638103641888446e-01
1.338938938938939005e+00,1.260542540718000704e-01
1.340940940940940962e+00,1.255406281359516263e-01
1.342942942942942919e+00,1.250496827296847524e-01
1.344944944944944876e+00,1.245618290177438470e-01
1.346946946946947055e+00,1.240794095782948026e-01
1.348948948948949011e+00,1.236254297788286910e-01
1.350950950950950968e+00,1.231763320138897222e-01
1.352952952952952925e+00,1.227114274694442730e-01
1.354954954954954882e+00,1.222341646037266583e-01
1.356956956956957061e+00,1.217416995445644995e-01
1.358958958958959018e+00,1.212090757947060227e-01
1.360960960960960975e+00,1.205948578372995073e-01
1.362962962962962932e+00,1.199275986274027650e-01
1.364964964964964889e+00,1.192702227882815325e-01
1.366966966966967068e+00,1.186264899797251637e-01
1.368968968968969024e+00,1.179608662817870079e-01
1.370970970970970981e+00,1.172453232503990195e-01
1.372972972972972938e+00,1.164692394362239064e-01
1.374974974974974895e+00,1.156163015597004018e-01
1.376976976976977074e+00,1.146850232850807061e-01
1.378978978978979031e+00,1.136973921012973676e-01
1.380980980980980988e+00,1.126667213826431369e-01
1.382982982982982945e+00,1.115795650460638666e-01
1.384984984984984902e+00,1.104127656828420290e-01
1.386986986986987080e+00,1.091748242077385245e-01
1.388988988988989037e+00,1.079042606766023454e-01
1.390990990990990994e+00,1.066195043598378855e-01
1.392992992992993173e+00,1.053201699241621686e-01
1.394994994994994908e+00,1.040274242517734982e-01
1.396996996996997087e+00,1.027745894175043639e-01
1.398998998998999044e+00,1.015602830574762194e-01
1.401001001001001001e+00,1.003677770820302906e-01
1.403003003003003180e+00,9.928161417317207804e-02
1.405005005005004914e+00,9.822228852181502656e-02
1.407007007007007093e+00,9.722154350600871464e-02
1.409009009009008828e+00,9.634821105608688818e-02
1.411011011011011007e+00,9.550918222204779484e-02
1.413013013013013186e+00,9.479115955611973343e-02
1.415015015015014921e+00,9.410231595085542800e-02
1.417017017017017100e+00,9.349291709831350494e-02
1.419019019019018835e+00,9.290696220133499994e-02
1.421021021021021014e+00,9.235193782344831848e-02
1.423023023023023192e+00,9.181636953425903469e-02
1.425025025025024927e+00,9.135483400468719095e-02
1.427027027027027106e+00,9.093134241455511080e-02
1.429029029029028841e+00,9.050908479629889147e-02
1.431031031031031020e+00,9.004263208940103957e-02
1.433033033033033199e+00,8.959320047257925135e-02
1.435035035035034934e+00,8.918086711270840905e-02
1.437037037037037113e+00,8.880407989548003145e-02
1.439039039039038848e+00,8.843523902231885392e-02
1.441041041041041026e+00,8.807978328469215357e-02
1.443043043043043205e+00,8.773079710528616793e-02
1.445045045045044940e+00,8.742115204496656022e-02
1.447047047047047119e+00,8.713704451887629987e-02
1.449049049049048854e+00,8.684237372968880986e-02
1.451051051051051033e+00,8.652136950992651843e-02
1.453053053053053212e+00,8.619358382277372832e-02
1.455055055055054947e+00,8.588269042194571212e-02
1.457057057057057126e+00,8.560445509906546013e-02
1.459059059059058860e+00,8.534535189576791803e-02
1.461061061061061039e+00,8.509263600030239627e-02
1.463063063063063218e+00,8.485583145739600264e-02
1.465065065065064953e+00,8.466013286503329405e-02
1.467067067067067132e+00,8.449272960224482598e-02
1.469069069069068867e+00,8.431379545604786307e-02
1.471071071071071046e+00,8.410690056599107178e-02
1.473073073073073225e+00,8.391838813435892330e-02
1.475075075075074960e+00,8.377777264949286262e-02
1.477077077077077139e+00,8.368032136512978947e-02
1.479079079079078873e+00,8.361136503930616248e-02
1.481081081081081052e+00,8.355749063805878452e-02
1.483083083083083231e+00,8.351550762210757650e-02
1.485085085085084966e+00,8.349427195378508748e-02
1.487087087087087145e+00,8.348406596334578822e-02
1.489089089089088880e+00,8.348135099884182453e-02
1.491091091091091059e+00,8.348480548283965241e-02
1.493093093093093238e+00,8.349021860616998025e-02
1.495095095095094972e+00,8.347057137774063773e-02
1.497097097097097151e+00,8.343928258444451018e-02
1.499099099099099330e+00,8.344219284805774739e-02
1.501101101101101065e+00,8.351805409901331967e-02
1.503103103103103244e+00,8.365114646170129786e-02
1.505105105105104979e+00,8.381977237237829559e-02
1.507107107107107158e+00,8.399736312368714930e-02
1.509109109109109337e+00,8.417038256062620016e-02
1.511111111111111072e+00,8.432468632809207720e-02
1.513113113113113251e+00,8.448801455514090564e-02
1.515115115115114985e+00,8.469129711163458918e-02
1.517117117117117164e+00,8.494587932449754186e-02
1.519119119119119343e+00,8.518876913868050904e-02
1.521121121121121078e+00,8.538448145792364163e-02
1.523123123123123257e+00,8.556474214328035899e-02
1.525125125125124992e+00,8.578401728089912748e-02
1.527127127127127171e+00,8.603562456805606551e-02
1.529129129129129350e+00,8.630533749235273777e-02
1.531131131131131085e+00,8.656436031722963831e-02
1.533133133133133263e+00,8.680554901850340288e-02
1.535135135135134998e+00,8.702276601564871983e-02
1.537137137137137177e+00,8.724623466505329605e-02
1.539139139139139356e+00,8.748916332829023701e-02
1.541141141141141091e+00,8.777136923002616664e-02
1.543143143143143270e+00,8.806493010532433219e-02
1.545145145145145005e+00,8.832930737347709227e-02
1.547147147147147184e+00,8.854941205284065642e-02
1.549149149149149363e+00,8.877941544920923966e-02
1.551151151151151097e+00,8.905112100567923183e-02
1.553153153153153276e+00,8.936564406395623716e-02
1.555155155155155011e+00,8.971303131044663925e-02
1.557157157157157190e+00,9.007871490643265533e-02
1.559159159159159369e+00,9.040886133560033233e-02
1.561161161161161104e+00,9.067918889373334512e-02
