Wavelength (micron), Reflectance
5.1700002e-001, 7.8052811e-002
5.1800001e-001, 8.0159001e-002
5.1899999e-001, 8.2410775e-002
5.1999998e-001, 8.4811643e-002
5.2100003e-001, 8.7303869e-002
5.2200001e-001, 8.9814514e-002
5.2300000e-001, 9.2288107e-002
5.2399999e-001, 9.4738215e-002
5.2499998e-001, 9.7196199e-002
5.2600002e-001, 9.9673912e-002
5.2700001e-001, 1.0210572e-001
5.2800000e-001, 1.0440609e-001
5.2899998e-001, 1.0650884e-001
5.2999997e-001, 1.0842296e-001
5.3100002e-001, 1.1017629e-001
5.3200001e-001, 1.1179378e-001
5.3299999e-001, 1.1328893e-001
5.3399998e-001, 1.1467210e-001
5.3500003e-001, 1.1595141e-001
5.3600001e-001, 1.1712480e-001
5.3700000e-001, 1.1818773e-001
5.3799999e-001, 1.1913291e-001
5.3899997e-001, 1.1994285e-001
5.4000002e-001, 1.2059742e-001
5.4100001e-001, 1.2109514e-001
5.4200000e-001, 1.2150964e-001
5.4299998e-001, 1.2193327e-001
5.4400003e-001, 1.2243115e-001
5.4500002e-001, 1.2295971e-001
5.4600000e-001, 1.2344817e-001
5.4699999e-001, 1.2384671e-001
5.4799998e-001, 1.2418925e-001
5.4900002e-001, 1.2453077e-001
5.5000001e-001, 1.2490493e-001
5.5100000e-001, 1.2526053e-001
5.5199999e-001, 1.2552513e-001
5.5299997e-001, 1.2563707e-001
5.5400002e-001, 1.2557791e-001
5.5500001e-001, 1.2534003e-001
5.5599999e-001, 1.2492031e-001
5.5699998e-001, 1.2433379e-001
5.5800003e-001, 1.2360014e-001
5.5900002e-001, 1.2273395e-001
5.6000000e-001, 1.2172994e-001
5.6099999e-001, 1.2057792e-001
5.6199998e-001, 1.1927570e-001
5.6300002e-001, 1.1785346e-001
5.6400001e-001, 1.1634975e-001
5.6500000e-001, 1.1479583e-001
5.6599998e-001, 1.1319521e-001
5.6699997e-001, 1.1154428e-001
5.6800002e-001, 1.0983986e-001
5.6900001e-001, 1.0807876e-001
5.6999999e-001, 1.0625804e-001
5.7099998e-001, 1.0438804e-001
5.7200003e-001, 1.0253262e-001
5.7300001e-001, 1.0076888e-001
5.7400000e-001, 9.9155851e-002
5.7499999e-001, 9.7678669e-002
5.7599998e-001, 9.6304245e-002
5.7700002e-001, 9.5003910e-002
5.7800001e-001, 9.3767412e-002
5.7900000e-001, 9.2588805e-002
5.7999998e-001, 9.1466345e-002
5.8099997e-001, 9.0414874e-002
5.8200002e-001, 8.9453407e-002
5.8300000e-001, 8.8596076e-002
5.8399999e-001, 8.7838106e-002
5.8499998e-001, 8.7169714e-002
5.8600003e-001, 8.6573809e-002
5.8700001e-001, 8.6003564e-002
5.8800000e-001, 8.5404828e-002
5.8899999e-001, 8.4747784e-002
5.8999997e-001, 8.4100388e-002
5.9100002e-001, 8.3555169e-002
5.9200001e-001, 8.3177134e-002
5.9299999e-001, 8.2921743e-002
5.9399998e-001, 8.2717165e-002
5.9500003e-001, 8.2503393e-002
5.9600002e-001, 8.2267977e-002
5.9700000e-001, 8.2010388e-002
5.9799999e-001, 8.1732310e-002
5.9899998e-001, 8.1444159e-002
6.0000002e-001, 8.1158511e-002
6.0100001e-001, 8.0880284e-002
6.0200000e-001, 8.0583632e-002
6.0299999e-001, 8.0234990e-002
6.0399997e-001, 7.9810396e-002
6.0500002e-001, 7.9323716e-002
6.0600001e-001, 7.8798339e-002
6.0699999e-001, 7.8254126e-002
6.0799998e-001, 7.7697113e-002
6.0900003e-001, 7.7129699e-002
6.1000001e-001, 7.6556578e-002
6.1100000e-001, 7.5991139e-002
6.1199999e-001, 7.5448938e-002
6.1299998e-001, 7.4937239e-002
6.1400002e-001, 7.4430294e-002
6.1500001e-001, 7.3893942e-002
6.1600000e-001, 7.3307447e-002
6.1699998e-001, 7.2703704e-002
6.1799997e-001, 7.2129115e-002
6.1900002e-001, 7.1618810e-002
6.2000000e-001, 7.1163543e-002
6.2099999e-001, 7.0742972e-002
6.2199998e-001, 7.0342876e-002
6.2300003e-001, 6.9973774e-002
6.2400001e-001, 6.9652401e-002
6.2500000e-001, 6.9392845e-002
6.2599999e-001, 6.9198750e-002
6.2699997e-001, 6.9071092e-002
6.2800002e-001, 6.9002762e-002
6.2900001e-001, 6.8953089e-002
6.3000000e-001, 6.8873048e-002
6.3099998e-001, 6.8730846e-002
6.3200003e-001, 6.8562202e-002
6.3300002e-001, 6.8419822e-002
6.3400000e-001, 6.8334922e-002
6.3499999e-001, 6.8251505e-002
6.3599998e-001, 6.8092167e-002
6.3700002e-001, 6.7794152e-002
6.3800001e-001, 6.7355134e-002
6.3900000e-001, 6.6787422e-002
6.3999999e-001, 6.6114143e-002
6.4099997e-001, 6.5400600e-002
6.4200002e-001, 6.4722806e-002
6.4300001e-001, 6.4134002e-002
6.4399999e-001, 6.3597396e-002
6.4499998e-001, 6.3053720e-002
6.4600003e-001, 6.2465616e-002
6.4700001e-001, 6.1884459e-002
6.4800000e-001, 6.1383590e-002
6.4899999e-001, 6.1015327e-002
6.4999998e-001, 6.0746927e-002
6.5100002e-001, 6.0524460e-002
6.5200001e-001, 6.0302220e-002
6.5300000e-001, 6.0066376e-002
6.5399998e-001, 5.9811231e-002
6.5499997e-001, 5.9535742e-002
6.5600002e-001, 5.9256922e-002
6.5700001e-001, 5.8996409e-002
6.5799999e-001, 5.8767933e-002
6.5899998e-001, 5.8553830e-002
6.6000003e-001, 5.8328383e-002
6.6100001e-001, 5.8071841e-002
6.6200000e-001, 5.7787880e-002
6.6299999e-001, 5.7486057e-002
6.6399997e-001, 5.7179861e-002
6.6500002e-001, 5.6898404e-002
6.6600001e-001, 5.6674723e-002
6.6700000e-001, 5.6527685e-002
6.6799998e-001, 5.6419626e-002
6.6900003e-001, 5.6298658e-002
6.7000002e-001, 5.6132842e-002
6.7100000e-001, 5.5969868e-002
6.7199999e-001, 5.5877350e-002
6.7299998e-001, 5.5903137e-002
6.7400002e-001, 5.6016069e-002
6.7500001e-001, 5.6165233e-002
6.7600000e-001, 5.6309827e-002
6.7699999e-001, 5.6449458e-002
6.7799997e-001, 5.6593858e-002
6.7900002e-001, 5.6754980e-002
6.8000001e-001, 5.6953762e-002
6.8099999e-001, 5.7213336e-002
6.8199998e-001, 5.7549216e-002
6.8300003e-001, 5.7946187e-002
6.8400002e-001, 5.8381155e-002
6.8500000e-001, 5.8853690e-002
6.8599999e-001, 5.9453133e-002
6.8699998e-001, 6.0291287e-002
6.8800002e-001, 6.1467770e-002
6.8900001e-001, 6.3034087e-002
6.9000000e-001, 6.5029748e-002
6.9099998e-001, 6.7508727e-002
6.9199997e-001, 7.0584178e-002
6.9300002e-001, 7.4384309e-002
6.9400001e-001, 7.9014003e-002
6.9499999e-001, 8.4488392e-002
6.9599998e-001, 9.0799794e-002
6.9700003e-001, 9.7925901e-002
6.9800001e-001, 1.0578262e-001
6.9900000e-001, 1.1427215e-001
6.9999999e-001, 1.2329610e-001
7.0099998e-001, 1.3276121e-001
7.0200002e-001, 1.4257321e-001
7.0300001e-001, 1.5264563e-001
7.0400000e-001, 1.6291645e-001
7.0499998e-001, 1.7333226e-001
7.0599997e-001, 1.8384165e-001
7.0700002e-001, 1.9440490e-001
7.0800000e-001, 2.0498319e-001
7.0899999e-001, 2.1554518e-001
7.0999998e-001, 2.2608145e-001
7.1100003e-001, 2.3658806e-001
7.1200001e-001, 2.4705824e-001
7.1300000e-001, 2.5747415e-001
7.1399999e-001, 2.6781315e-001
7.1499997e-001, 2.7805537e-001
7.1600002e-001, 2.8818345e-001
7.1700001e-001, 2.9818165e-001
7.1799999e-001, 3.0802613e-001
7.1899998e-001, 3.1767055e-001
7.2000003e-001, 3.2706168e-001
7.2100002e-001, 3.3615974e-001
7.2200000e-001, 3.4497854e-001
7.2299999e-001, 3.5354564e-001
7.2399998e-001, 3.6186984e-001
7.2500002e-001, 3.6989200e-001
7.2600001e-001, 3.7753510e-001
7.2700000e-001, 3.8474256e-001
7.2799999e-001, 3.9153662e-001
7.2899997e-001, 3.9796075e-001
7.3000002e-001, 4.0405151e-001
7.3100001e-001, 4.0981904e-001
7.3199999e-001, 4.1526660e-001
7.3299998e-001, 4.2039376e-001
7.3400003e-001, 4.2518154e-001
7.3500001e-001, 4.2960748e-001
7.3600000e-001, 4.3366200e-001
7.3699999e-001, 4.3738765e-001
7.3799998e-001, 4.4083941e-001
7.3900002e-001, 4.4406223e-001
7.4000001e-001, 4.4705746e-001
7.4100000e-001, 4.4981545e-001
7.4199998e-001, 4.5233098e-001
7.4299997e-001, 4.5461583e-001
7.4400002e-001, 4.5668563e-001
7.4500000e-001, 4.5855853e-001
7.4599999e-001, 4.6026134e-001
7.4699998e-001, 4.6182302e-001
7.4800003e-001, 4.6326646e-001
7.4900001e-001, 4.6459040e-001
7.5000000e-001, 4.6578729e-001
7.5099999e-001, 4.6685132e-001
7.5199997e-001, 4.6778175e-001
7.5300002e-001, 4.6857947e-001
7.5400001e-001, 4.6925166e-001
7.5500000e-001, 4.6983704e-001
7.5599998e-001, 4.7037977e-001
7.5700003e-001, 4.7091094e-001
7.5800002e-001, 4.7140747e-001
7.5900000e-001, 4.7183248e-001
7.5999999e-001, 4.7216299e-001
7.6099998e-001, 4.7243071e-001
7.6200002e-001, 4.7268087e-001
7.6300001e-001, 4.7294664e-001
7.6400000e-001, 4.7321209e-001
7.6499999e-001, 4.7344893e-001
7.6599997e-001, 4.7363651e-001
7.6700002e-001, 4.7378397e-001
7.6800001e-001, 4.7390798e-001
7.6899999e-001, 4.7402096e-001
7.6999998e-001, 4.7411841e-001
7.7100003e-001, 4.7419158e-001
7.7200001e-001, 4.7423619e-001
