wavelength (micron), reflectivity
7.389999999999999902e-01,4.431550949999999989e-01
7.399999999999999911e-01,4.452921910000000039e-01
7.409999999999999920e-01,4.473997619999999786e-01
7.419999999999999929e-01,4.493613410000000252e-01
7.429999999999999938e-01,4.512732580000000104e-01
7.439999999999999947e-01,4.531317859999999809e-01
7.449999999999999956e-01,4.548717509999999908e-01
7.459999999999999964e-01,4.564966799999999880e-01
7.469999999999999973e-01,4.580670729999999913e-01
7.479999999999999982e-01,4.595985910000000008e-01
7.489999999999999991e-01,4.610447639999999958e-01
7.500000000000000000e-01,4.624809360000000091e-01
7.510000000000000009e-01,4.638524350000000074e-01
7.520000000000000018e-01,4.651260609999999796e-01
7.530000000000000027e-01,4.664035919999999780e-01
7.540000000000000036e-01,4.676659109999999897e-01
7.550000000000000044e-01,4.688988510000000054e-01
7.560000000000000053e-01,4.700990950000000224e-01
7.570000000000000062e-01,4.713177700000000248e-01
7.580000000000000071e-01,4.725388420000000145e-01
7.590000000000000080e-01,4.737451400000000090e-01
7.600000000000000089e-01,4.749280280000000021e-01
7.610000000000000098e-01,4.761534629999999990e-01
7.620000000000000107e-01,4.774088590000000187e-01
7.630000000000000115e-01,4.786666580000000226e-01
7.640000000000000124e-01,4.798990300000000042e-01
7.650000000000000133e-01,4.810969429999999991e-01
7.660000000000000142e-01,4.822855959999999831e-01
7.670000000000000151e-01,4.834898619999999925e-01
7.680000000000000160e-01,4.846993159999999912e-01
7.690000000000000169e-01,4.858623539999999963e-01
7.700000000000000178e-01,4.869753250000000144e-01
7.710000000000000187e-01,4.880659640000000188e-01
7.720000000000000195e-01,4.891452230000000179e-01
7.730000000000000204e-01,4.902278210000000080e-01
7.740000000000000213e-01,4.912872580000000045e-01
7.750000000000000222e-01,4.922553020000000057e-01
7.760000000000000231e-01,4.932148570000000065e-01
7.770000000000000240e-01,4.941571169999999791e-01
7.780000000000000249e-01,4.950678680000000220e-01
7.790000000000000258e-01,4.959687830000000242e-01
7.800000000000000266e-01,4.968467549999999733e-01
7.810000000000000275e-01,4.977038180000000200e-01
7.820000000000000284e-01,4.985417329999999869e-01
7.830000000000000293e-01,4.993315649999999772e-01
7.840000000000000302e-01,5.001111369999999834e-01
7.850000000000000311e-01,5.008845709999999452e-01
7.860000000000000320e-01,5.016313589999999989e-01
7.870000000000000329e-01,5.023758259999999698e-01
7.880000000000000338e-01,5.031039449999999968e-01
7.890000000000000346e-01,5.037982020000000283e-01
7.900000000000000355e-01,5.044455810000000318e-01
7.910000000000000364e-01,5.051400820000000458e-01
7.920000000000000373e-01,5.058303699999999736e-01
7.930000000000000382e-01,5.064699259999999592e-01
7.940000000000000391e-01,5.071193069999999636e-01
7.950000000000000400e-01,5.077268379999999581e-01
7.960000000000000409e-01,5.083251239999999616e-01
7.970000000000000417e-01,5.089612300000000422e-01
7.980000000000000426e-01,5.095884750000000407e-01
7.990000000000000435e-01,5.101879040000000254e-01
8.000000000000000444e-01,5.107792030000000150e-01
8.010000000000000453e-01,5.113992880000000074e-01
8.020000000000000462e-01,5.119638549999999677e-01
8.030000000000000471e-01,5.125145650000000330e-01
8.040000000000000480e-01,5.130843699999999563e-01
8.050000000000000488e-01,5.136700389999999672e-01
8.060000000000000497e-01,5.142194100000000434e-01
8.070000000000000506e-01,5.147515099999999677e-01
8.080000000000000515e-01,5.152921280000000159e-01
8.090000000000000524e-01,5.158383739999999884e-01
8.100000000000000533e-01,5.164116359999999517e-01
8.110000000000000542e-01,5.170073469999999505e-01
8.120000000000000551e-01,5.175973219999999708e-01
8.129999999999999449e-01,5.180962810000000474e-01
8.139999999999999458e-01,5.186322020000000421e-01
8.149999999999999467e-01,5.191971819999999793e-01
8.159999999999999476e-01,5.197068999999999717e-01
8.169999999999999485e-01,5.202939829999999599e-01
8.179999999999999494e-01,5.208999020000000257e-01
8.189999999999999503e-01,5.214767689999999511e-01
8.199999999999999512e-01,5.220185579999999659e-01
8.209999999999999520e-01,5.226080800000000304e-01
8.219999999999999529e-01,5.231982240000000450e-01
8.229999999999999538e-01,5.237649680000000529e-01
8.239999999999999547e-01,5.243874739999999646e-01
8.249999999999999556e-01,5.249853060000000404e-01
8.259999999999999565e-01,5.255394690000000368e-01
8.269999999999999574e-01,5.260735010000000544e-01
8.279999999999999583e-01,5.266835170000000454e-01
8.289999999999999591e-01,5.272949220000000548e-01
8.299999999999999600e-01,5.278994630000000132e-01
8.309999999999999609e-01,5.285145639999999645e-01
8.319999999999999618e-01,5.290856579999999587e-01
8.329999999999999627e-01,5.296573279999999828e-01
8.339999999999999636e-01,5.302429029999999877e-01
8.349999999999999645e-01,5.308202419999999977e-01
8.359999999999999654e-01,5.313659579999999716e-01
8.369999999999999662e-01,5.319260900000000181e-01
8.379999999999999671e-01,5.325214059999999749e-01
8.389999999999999680e-01,5.331222839999999463e-01
8.399999999999999689e-01,5.336957150000000150e-01
8.409999999999999698e-01,5.342657880000000192e-01
8.419999999999999707e-01,5.348438150000000002e-01
8.429999999999999716e-01,5.353683460000000505e-01
8.439999999999999725e-01,5.359291990000000228e-01
8.449999999999999734e-01,5.364900849999999499e-01
8.459999999999999742e-01,5.369955100000000092e-01
8.469999999999999751e-01,5.374908379999999708e-01
8.479999999999999760e-01,5.380090159999999511e-01
8.489999999999999769e-01,5.385329290000000491e-01
8.499999999999999778e-01,5.390297330000000109e-01
8.509999999999999787e-01,5.395677709999999738e-01
8.519999999999999796e-01,5.400371980000000516e-01
8.529999999999999805e-01,5.404555180000000236e-01
8.539999999999999813e-01,5.409473230000000354e-01
8.549999999999999822e-01,5.414452299999999996e-01
8.559999999999999831e-01,5.418857350000000350e-01
8.569999999999999840e-01,5.422838100000000328e-01
8.579999999999999849e-01,5.427522909999999978e-01
8.589999999999999858e-01,5.432090170000000162e-01
8.599999999999999867e-01,5.436254390000000436e-01
8.609999999999999876e-01,5.440078940000000474e-01
8.619999999999999885e-01,5.444100539999999766e-01
8.629999999999999893e-01,5.448064000000000240e-01
8.639999999999999902e-01,5.451838180000000422e-01
8.649999999999999911e-01,5.455364539999999485e-01
8.659999999999999920e-01,5.458621030000000429e-01
8.669999999999999929e-01,5.462340159999999889e-01
8.679999999999999938e-01,5.466078220000000210e-01
8.689999999999999947e-01,5.469159230000000260e-01
8.699999999999999956e-01,5.472466099999999667e-01
8.709999999999999964e-01,5.475604680000000224e-01
8.719999999999999973e-01,5.478431430000000324e-01
8.729999999999999982e-01,5.481078529999999782e-01
8.739999999999999991e-01,5.484040209999999638e-01
8.750000000000000000e-01,5.487334750000000261e-01
8.760000000000000009e-01,5.490463979999999911e-01
8.770000000000000018e-01,5.492649490000000023e-01
8.780000000000000027e-01,5.494810070000000213e-01
8.790000000000000036e-01,5.497130510000000081e-01
8.800000000000000044e-01,5.499392659999999822e-01
8.810000000000000053e-01,5.501033220000000057e-01
8.820000000000000062e-01,5.502670029999999768e-01
8.830000000000000071e-01,5.504780620000000457e-01
8.840000000000000080e-01,5.507200549999999861e-01
8.850000000000000089e-01,5.508675690000000014e-01
8.860000000000000098e-01,5.509777839999999705e-01
8.870000000000000107e-01,5.511210090000000505e-01
8.880000000000000115e-01,5.513117499999999893e-01
8.890000000000000124e-01,5.514009970000000038e-01
8.900000000000000133e-01,5.514762410000000337e-01
8.910000000000000142e-01,5.516024800000000061e-01
8.920000000000000151e-01,5.517856930000000215e-01
8.930000000000000160e-01,5.518420200000000442e-01
8.940000000000000169e-01,5.519397160000000246e-01
8.950000000000000178e-01,5.520670429999999795e-01
8.960000000000000187e-01,5.521325870000000080e-01
8.970000000000000195e-01,5.521437270000000286e-01
8.980000000000000204e-01,5.522397940000000061e-01
8.990000000000000213e-01,5.523630940000000544e-01
9.000000000000000222e-01,5.523603310000000377e-01
9.010000000000000231e-01,5.524372309999999731e-01
9.020000000000000240e-01,5.524700110000000386e-01
9.030000000000000249e-01,5.524491080000000220e-01
9.040000000000000258e-01,5.524823639999999481e-01
9.050000000000000266e-01,5.525301339999999506e-01
9.060000000000000275e-01,5.525844340000000132e-01
9.070000000000000284e-01,5.526413169999999653e-01
9.080000000000000293e-01,5.526970450000000534e-01
9.090000000000000302e-01,5.527092030000000378e-01
9.100000000000000311e-01,5.527658619999999967e-01
9.110000000000000320e-01,5.528946810000000545e-01
9.120000000000000329e-01,5.530041060000000508e-01
9.130000000000000338e-01,5.530863750000000190e-01
9.140000000000000346e-01,5.531703260000000455e-01
9.150000000000000355e-01,5.532679130000000001e-01
9.160000000000000364e-01,5.533395859999999944e-01
9.170000000000000373e-01,5.534882549999999846e-01
9.180000000000000382e-01,5.536690359999999478e-01
9.190000000000000391e-01,5.538189639999999692e-01
9.200000000000000400e-01,5.539312189999999747e-01
9.210000000000000409e-01,5.540681259999999941e-01
9.220000000000000417e-01,5.542651889999999915e-01
9.230000000000000426e-01,5.544982250000000112e-01
9.240000000000000435e-01,5.545961560000000068e-01
9.250000000000000444e-01,5.547909199999999652e-01
9.260000000000000453e-01,5.550309110000000157e-01
9.270000000000000462e-01,5.551962369999999813e-01
9.280000000000000471e-01,5.553206299999999818e-01
9.290000000000000480e-01,5.554832570000000080e-01
