Wavelength (micron), Reflectance
5.2600002e-001,9.7688645e-002
5.2700001e-001,9.9589616e-002
5.2800000e-001,1.0139877e-001
5.2899998e-001,1.0310301e-001
5.2999997e-001,1.0469423e-001
5.3100002e-001,1.0616563e-001
5.3200001e-001,1.0751226e-001
5.3299999e-001,1.0873672e-001
5.3399998e-001,1.0984326e-001
5.3500003e-001,1.1083803e-001
5.3600001e-001,1.1173374e-001
5.3700000e-001,1.1254485e-001
5.3799999e-001,1.1328400e-001
5.3899997e-001,1.1395746e-001
5.4000002e-001,1.1456984e-001
5.4100001e-001,1.1512820e-001
5.4200000e-001,1.1565014e-001
5.4299998e-001,1.1615588e-001
5.4400003e-001,1.1666202e-001
5.4500002e-001,1.1717135e-001
5.4600000e-001,1.1768313e-001
5.4699999e-001,1.1819574e-001
5.4799998e-001,1.1870359e-001
5.4900002e-001,1.1920036e-001
5.5000001e-001,1.1967827e-001
5.5100000e-001,1.2012441e-001
5.5199999e-001,1.2052451e-001
5.5299997e-001,1.2086346e-001
5.5400002e-001,1.2112284e-001
5.5500001e-001,1.2128338e-001
5.5599999e-001,1.2132831e-001
5.5699998e-001,1.2125077e-001
5.5800003e-001,1.2104639e-001
5.5900002e-001,1.2071224e-001
5.6000000e-001,1.2025135e-001
5.6099999e-001,1.1966819e-001
5.6199998e-001,1.1896738e-001
5.6300002e-001,1.1815427e-001
5.6400001e-001,1.1723456e-001
5.6500000e-001,1.1621375e-001
5.6599998e-001,1.1509786e-001
5.6699997e-001,1.1389279e-001
5.6800002e-001,1.1260628e-001
5.6900001e-001,1.1125182e-001
5.6999999e-001,1.0984460e-001
5.7099998e-001,1.0840089e-001
5.7200003e-001,1.0694208e-001
5.7300001e-001,1.0549060e-001
5.7400000e-001,1.0406758e-001
5.7499999e-001,1.0268746e-001
5.7599998e-001,1.0136313e-001
5.7700002e-001,1.0010569e-001
5.7800001e-001,9.8919198e-002
5.7900000e-001,9.7805724e-002
5.7999998e-001,9.6765943e-002
5.8099997e-001,9.5794484e-002
5.8200002e-001,9.4884597e-002
5.8300000e-001,9.4029799e-002
5.8399999e-001,9.3225621e-002
5.8499998e-001,9.2467770e-002
5.8600003e-001,9.1752976e-002
5.8700001e-001,9.1081351e-002
5.8800000e-001,9.0453990e-002
5.8899999e-001,8.9870594e-002
5.8999997e-001,8.9325540e-002
5.9100002e-001,8.8812076e-002
5.9200001e-001,8.8324748e-002
5.9299999e-001,8.7863922e-002
5.9399998e-001,8.7431565e-002
5.9500003e-001,8.7028787e-002
5.9600002e-001,8.6653620e-002
5.9700000e-001,8.6303353e-002
5.9799999e-001,8.5974097e-002
5.9899998e-001,8.5656844e-002
6.0000002e-001,8.5341379e-002
6.0100001e-001,8.5017435e-002
6.0200000e-001,8.4674492e-002
6.0299999e-001,8.4301919e-002
6.0399997e-001,8.3891697e-002
6.0500002e-001,8.3445743e-002
6.0600001e-001,8.2968466e-002
6.0699999e-001,8.2462899e-002
6.0799998e-001,8.1926875e-002
6.0900003e-001,8.1356689e-002
6.1000001e-001,8.0751285e-002
6.1100000e-001,8.0119543e-002
6.1199999e-001,7.9472885e-002
6.1299998e-001,7.8821860e-002
6.1400002e-001,7.8173839e-002
6.1500001e-001,7.7535264e-002
6.1600000e-001,7.6912470e-002
6.1699998e-001,7.6311156e-002
6.1799997e-001,7.5737089e-002
6.1900002e-001,7.5196423e-002
6.2000000e-001,7.4697971e-002
6.2099999e-001,7.4251100e-002
6.2199998e-001,7.3861994e-002
6.2300003e-001,7.3523864e-002
6.2400001e-001,7.3226742e-002
6.2500000e-001,7.2962679e-002
6.2599999e-001,7.2732091e-002
6.2699997e-001,7.2537415e-002
6.2800002e-001,7.2379410e-002
6.2900001e-001,7.2251081e-002
6.3000000e-001,7.2143525e-002
6.3099998e-001,7.2046846e-002
6.3200003e-001,7.1945727e-002
6.3300002e-001,7.1823642e-002
6.3400000e-001,7.1665466e-002
6.3499999e-001,7.1460627e-002
6.3599998e-001,7.1200036e-002
6.3700002e-001,7.0874564e-002
6.3800001e-001,7.0476465e-002
6.3900000e-001,6.9997899e-002
6.3999999e-001,6.9435313e-002
6.4099997e-001,6.8800971e-002
6.4200002e-001,6.8111375e-002
6.4300001e-001,6.7381747e-002
6.4399999e-001,6.6623420e-002
6.4499998e-001,6.5846831e-002
6.4600003e-001,6.5063141e-002
6.4700001e-001,6.4287707e-002
6.4800000e-001,6.3536778e-002
6.4899999e-001,6.2824726e-002
6.4999998e-001,6.2157664e-002
6.5100002e-001,6.1539680e-002
6.5200001e-001,6.0971983e-002
6.5300000e-001,6.0443051e-002
6.5399998e-001,5.9938416e-002
6.5499997e-001,5.9443794e-002
6.5600002e-001,5.8945332e-002
6.5700001e-001,5.8429383e-002
6.5799999e-001,5.7884410e-002
6.5899998e-001,5.7307318e-002
6.6000003e-001,5.6696955e-002
6.6100001e-001,5.6054838e-002
6.6200000e-001,5.5392765e-002
6.6299999e-001,5.4725077e-002
6.6399997e-001,5.4066624e-002
6.6500002e-001,5.3433593e-002
6.6600001e-001,5.2842613e-002
6.6700000e-001,5.2307647e-002
6.6799998e-001,5.1832292e-002
6.6900003e-001,5.1417414e-002
6.7000002e-001,5.1063493e-002
6.7100000e-001,5.0769318e-002
6.7199999e-001,5.0533250e-002
6.7299998e-001,5.0353009e-002
6.7400002e-001,5.0223764e-002
6.7500001e-001,5.0140020e-002
6.7600000e-001,5.0098311e-002
6.7699999e-001,5.0103240e-002
6.7799997e-001,5.0161470e-002
6.7900002e-001,5.0280042e-002
6.8000001e-001,5.0467670e-002
6.8099999e-001,5.0733455e-002
6.8199998e-001,5.1089630e-002
6.8300003e-001,5.1560834e-002
6.8400002e-001,5.2174587e-002
6.8500000e-001,5.2960519e-002
6.8599999e-001,5.3955790e-002
6.8699998e-001,5.5199530e-002
6.8800002e-001,5.6731947e-002
6.8900001e-001,5.8598682e-002
6.9000000e-001,6.0846779e-002
6.9099998e-001,6.3518912e-002
6.9199997e-001,6.6641912e-002
6.9300002e-001,7.0238970e-002
6.9400001e-001,7.4328855e-002
6.9499999e-001,7.8916535e-002
6.9599998e-001,8.4003069e-002
6.9700003e-001,8.9584924e-002
6.9800001e-001,9.5637478e-002
6.9900000e-001,1.0213219e-001
6.9999999e-001,1.0903934e-001
7.0099998e-001,1.1633009e-001
7.0200002e-001,1.2397417e-001
7.0300001e-001,1.3194054e-001
7.0400000e-001,1.4019011e-001
7.0499998e-001,1.4868364e-001
7.0599997e-001,1.5738676e-001
7.0700002e-001,1.6628702e-001
7.0800000e-001,1.7537579e-001
7.0899999e-001,1.8464710e-001
7.0999998e-001,1.9409889e-001
7.1100003e-001,2.0373023e-001
7.1200001e-001,2.1354018e-001
7.1300000e-001,2.2352812e-001
7.1399999e-001,2.3369165e-001
7.1499997e-001,2.4402878e-001
7.1600002e-001,2.5453156e-001
7.1700001e-001,2.6519135e-001
7.1799999e-001,2.7599919e-001
7.1899998e-001,2.8695476e-001
7.2000003e-001,2.9805875e-001
7.2100002e-001,3.0930611e-001
7.2200000e-001,3.2066825e-001
7.2299999e-001,3.3211130e-001
7.2399998e-001,3.4359834e-001
7.2500002e-001,3.5508966e-001
7.2600001e-001,3.6654380e-001
7.2700000e-001,3.7792042e-001
7.2799999e-001,3.8917935e-001
7.2899997e-001,4.0028298e-001
7.3000002e-001,4.1119611e-001
7.3100001e-001,4.2189613e-001
7.3199999e-001,4.3236321e-001
7.3299998e-001,4.4257763e-001
7.3400003e-001,4.5251527e-001
7.3500001e-001,4.6215284e-001
