Wavelength (micron), Reflectance
6.3970000e-001, 4.7820216e-001
6.4170003e-001, 4.7999364e-001
6.4370006e-001, 4.8025632e-001
6.4570004e-001, 4.8079082e-001
6.4770007e-001, 4.8108444e-001
6.4970005e-001, 4.8166469e-001
6.5170002e-001, 4.8382252e-001
6.5370005e-001, 4.8441494e-001
6.5570003e-001, 4.8481062e-001
6.5770006e-001, 4.8604798e-001
6.5970004e-001, 4.8738158e-001
6.6170001e-001, 4.9101463e-001
6.6370004e-001, 4.9140847e-001
6.6570002e-001, 4.9409366e-001
6.6770005e-001, 4.9188155e-001
6.7019999e-001, 4.9297309e-001
6.7320001e-001, 4.9297553e-001
6.7619997e-001, 4.9509385e-001
6.7919999e-001, 4.9603331e-001
6.8219995e-001, 4.9841321e-001
6.8519998e-001, 4.9951586e-001
6.8820000e-001, 5.0094426e-001
6.9120002e-001, 5.0205094e-001
6.9420004e-001, 5.0543147e-001
6.9720006e-001, 5.0409275e-001
7.0019996e-001, 5.0562340e-001
7.0199996e-001, 5.0507063e-001
7.0400000e-001, 5.0613254e-001
7.0599997e-001, 5.0777996e-001
7.0800000e-001, 5.0863999e-001
7.0999998e-001, 5.0857502e-001
7.1199995e-001, 5.0966680e-001
7.1399999e-001, 5.1179332e-001
7.1599996e-001, 5.1291853e-001
7.1799999e-001, 5.1359570e-001
7.1999997e-001, 5.1398432e-001
7.2199994e-001, 5.1387221e-001
7.2399998e-001, 5.1623744e-001
7.2599995e-001, 5.1648700e-001
7.2799999e-001, 5.1836169e-001
7.2999996e-001, 5.1892763e-001
7.3199993e-001, 5.1950687e-001
7.3399997e-001, 5.2051324e-001
7.3599994e-001, 5.2196407e-001
7.3799998e-001, 5.2238166e-001
7.4000001e-001, 5.2394539e-001
7.4199998e-001, 5.2415043e-001
7.4400002e-001, 5.2591270e-001
7.4599999e-001, 5.2543944e-001
7.4800003e-001, 5.2830416e-001
7.5050002e-001, 5.2854699e-001
7.5350004e-001, 5.3152233e-001
7.5650001e-001, 5.3076702e-001
7.5950003e-001, 5.3317136e-001
7.6249999e-001, 5.3377128e-001
7.6550001e-001, 5.3584468e-001
7.6850003e-001, 5.3741384e-001
7.7149999e-001, 5.3981918e-001
7.7450001e-001, 5.4090977e-001
7.7750003e-001, 5.4010391e-001
7.8099996e-001, 5.4337198e-001
7.8499997e-001, 5.4336542e-001
7.8899997e-001, 5.4514360e-001
7.9299998e-001, 5.4746485e-001
7.9699999e-001, 5.4996204e-001
8.0150002e-001, 5.5059880e-001
8.0650002e-001, 5.5284303e-001
8.1150001e-001, 5.5449766e-001
8.1650001e-001, 5.5631769e-001
8.2199997e-001, 5.5811864e-001
8.2800001e-001, 5.5867755e-001
8.3499998e-001, 5.5872864e-001
8.4300005e-001, 5.6129205e-001
8.5100001e-001, 5.6129575e-001
8.5900003e-001, 5.6221819e-001
8.7099999e-001, 5.6465906e-001
8.8300002e-001, 5.6458580e-001
8.9399999e-001, 5.7238728e-001
9.0399998e-001, 5.7542366e-001
9.1399997e-001, 5.7584798e-001
9.2399997e-001, 5.7709694e-001
9.3299997e-001, 5.8163899e-001
9.4099998e-001, 5.8026427e-001
9.4900000e-001, 5.8128369e-001
9.5700002e-001, 5.8438671e-001
9.6399999e-001, 5.8714229e-001
9.6999997e-001, 5.8567208e-001
9.7599995e-001, 5.8657652e-001
9.8199993e-001, 5.8979058e-001
9.8799998e-001, 5.9063208e-001
9.9400002e-001, 5.8899468e-001
1.0000000e+000, 5.9365600e-001
1.0060000e+000, 5.9337354e-001
1.0120000e+000, 5.9332699e-001
